00:10:06 объект SpaceGame.Bullet нанес 1 урона, SpaceGame.Asteroid
00:10:06 объект SpaceGame.Bullet нанес 1 урона, SpaceGame.Asteroid
00:10:06 объект SpaceGame.Bullet нанес 1 урона, SpaceGame.Asteroid
00:10:06 объект SpaceGame.Asteroid нанес 1 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 1 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 1 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 4 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 5 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 4 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 8 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 3 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 3 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 8 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 5 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Bullet нанес 1 урона, SpaceGame.Asteroid
00:10:06 объект SpaceGame.Asteroid нанес 5 урона, SpaceGame.Ship
00:10:06 объект SpaceGame.Asteroid нанес 7 урона, SpaceGame.Ship
00:10:07 объект SpaceGame.Asteroid нанес 8 урона, SpaceGame.Ship
00:10:08 Астеройд уничтожен +10 очков
00:10:08 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:08 объект SpaceGame.Bullet нанес 1 урона, SpaceGame.Asteroid
00:10:09 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:09 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:10 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:10 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:10 Астеройд уничтожен +10 очков
00:10:10 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:12 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:12 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:13 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:13 Астеройд уничтожен +10 очков
00:10:13 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:18 Астеройд уничтожен +10 очков
00:10:18 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:19 Астеройд уничтожен +10 очков
00:10:19 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:27 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:10:30 Астеройд уничтожен +10 очков
00:10:30 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:34 Астеройд уничтожен +10 очков
00:10:34 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:37 объект SpaceGame.Ship получил 10 энергии,
00:10:37 Астеройд уничтожен +10 очков
00:10:37 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:39 Астеройд уничтожен +10 очков
00:10:39 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:42 Астеройд уничтожен +10 очков
00:10:42 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:44 Астеройд уничтожен +10 очков
00:10:44 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:45 Астеройд уничтожен +10 очков
00:10:45 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:50 Астеройд уничтожен +10 очков
00:10:50 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:52 Астеройд уничтожен +10 очков
00:10:52 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:54 Астеройд уничтожен +10 очков
00:10:54 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:55 Астеройд уничтожен +10 очков
00:10:55 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:58 Астеройд уничтожен +10 очков
00:10:58 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:10:59 Астеройд уничтожен +10 очков
00:10:59 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:11:02 Астеройд уничтожен +10 очков
00:11:02 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:11:03 Астеройд уничтожен +10 очков
00:11:03 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:11:03 Астеройд уничтожен +10 очков
00:11:03 объект SpaceGame.BlueBullet нанес 1 урона, SpaceGame.Asteroid
00:11:08 Астеройд уничтожен +10 очков
00:11:08 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:11:09 Астеройд уничтожен +10 очков
00:11:09 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
00:11:10 Астеройд уничтожен +10 очков
00:11:10 объект SpaceGame.YellowBullet нанес 10 урона, SpaceGame.Asteroid
